,KC Name,Number of Unique Steps,Number of Observations,Intercept (logit) at Opportunity 1,Intercept (probability) at Opportunity 1,Slope
37,17.2 Recognize when the coherence principle has been violated and when it has been applied well,27,658,0.477872264,0.617245315,0.075356868
38,17.4 Recognize when the personalization and embodiment principles have been violated and when they have been applied well,11,465,0.991869079,0.729456942,0.184738372
39,17.5 Describe how CTA can be used to improve the application of the Coherence principle,5,358,0.465837071,0.614397975,0.170063074
40,18.1 Recognize when the segmenting principle has been violated and when it has been applied well,12,427,0.923559031,0.715766728,0.175537664
41,18.2 Recognize when the pretraining principle has been violated and when it has been applied well,12,489,0.918601369,0.714757039,0.090710326
42,18.3 Describe how CTA can be used to improve the application of the pretraining principles,3,135,-0.196270719,0.451089232,0.914786492
43,18.4 Describe how CTA can be used to improve the application of the segmenting principles,4,296,0.618238947,0.649817919,0.322027863
44,19.1 Identify the characteristics of a good experiment,28,728,1.098635145,0.750004286,0.06978572
45,"19.2 Explain why optimizing near term performance (e.g., through better UX design) does not guarantee optimal learning",20,554,1.165949591,0.762412105,0.045995525
46,19.4 Design a learning experiment (or A/B test) to evaluate whether one e-learning design is better than a close alternative,13,389,1.749642023,0.851907645,0.055529057
47,2.1 Distinguish learning vs. instruction,2,125,0.831575057,0.696687864,0.129574435
48,2.2 4 key learning events/principles,9,479,1.32554584,0.79010291,0.066462013
49,2.3 3 learning principles & processes,9,546,1.68721714,0.843857836,0.041324725
50,2.4 Distinguish 3 forms of cognitive processing/load during learning,15,624,0.811646119,0.692460171,0.058176958
51,2.5 Explain why instructional design is complex because optimal instructional choices change depending on content,30,755,-0.059880062,0.485034456,0.062993516
52,"20.1 Define Instructional goals, KCs, learning processes",11,309,-0.164772663,0.458899782,0.267077058
53,20.2 Explain the interrelationships between KCs and the ?est? corresponding learning process,3,133,0.689010029,0.665746667,0.0
54,20.4 Use KLI to choose instructional principles that match the desired KCs and learning processes,21,618,0.520090295,0.62716888,0.075079199
55,"3.1 Explain backward design and the interrelationships between goals, assessment, and instruction",15,610,-0.16888796,0.457878083,0.054007713
56,3.2 Map elements of Bloom? taxonomy to examples,11,454,0.584398842,0.642078951,0.091239245
57,3.3 Categorize knowledge components (KCs) along (four) dimensions,24,715,1.202435475,0.768957758,0.033142328
58,"3.4 Explain differences between KLI? Knowledge Components, Learning Events, Instructional Events, Assessment Events",33,1036,1.07572909,0.745684903,0.028227638
59,3.5 Identify key hypotheses of the KLI framework,26,631,0.486071072,0.619180442,0.023863497
60,"4.1 Evaluate and improve goals using KLI, Bloom? taxonomy, and ABCD",68,1660,0.43530439,0.607139594,0.028097066
61,4.2 Compare the purpose of formative and summative assessments,1,43,1.21022611,0.770338954,0.636149131
62,4.3 Recognize the value and limitations of self-assessment,20,459,1.053416636,0.741430447,0.110208017
63,5.1 Explain why ?f-then? production rules are a good way to express the output (model & insights) of a Cognitive Task Analysis,70,1283,0.231097604,0.557518641,0.033273137
64,5.2 Explain and exemplify how Cognitive Task Analysis can be used to identify learning goals,69,1445,-0.057787113,0.485557241,0.027941674
65,6.1 Evaluate and modify assessment questions based on KLI and Bloom? taxonomy,6,408,0.512697045,0.625438512,0.186514454
66,7.1 Explain the importance of focus setting in Contextual Inquiry and preparation in Clark? structured interview approach to CTA,8,393,-0.105951012,0.473536998,0.121728117
67,7.2 Compare and contrast the interview process of CTA via structured interviews with Contextual Inquiry,18,694,0.117144601,0.529252705,0.059104682
68,7.3 Use structured interviews (Cognitive Task Analysis) and contextual inquiry to identify course goals,15,532,0.891401618,0.709179333,0.054758716
69,"8.1 Distinguish between four kinds of CTA (theoretical vs. empirical, descriptive vs. prescriptive)",36,985,0.572154402,0.639260143,0.037764603
70,8.2 Use think aloud as a CTA technique,69,1333,0.215187727,0.553590296,0.043164014
71,8.5 Apply theoretical CTA to a task domain,28,1329,-0.135226749,0.466244735,0.028458048
72,8.6 Compare and contrast think aloud and theoretical CTA with other CTA methods,20,750,0.343035503,0.584927694,0.04017259
73,9.1 Perform & explain the steps in a Difficulty Factors Assessment (DFA),25,973,-0.206977662,0.448439523,0.040918015
74,9.5 Compare and contrast Difficulty Factors with prior CTA techniques,37,1047,0.552916662,0.634812014,0.040843459
