,KC Name,Number of Unique Steps,Number of Observations,Intercept (logit) at Opportunity 1,Intercept (probability) at Opportunity 1,Slope
46,2.3 3 learning principles & processes,9,546,1.687249111,0.843862049,0.041295966
47,2.4 Distinguish 3 forms of cognitive processing/load during learning,15,624,0.811671142,0.6924655,0.058154338
48,2.5 Explain why instructional design is complex because optimal instructional choices change depending on content,30,755,-0.059759409,0.485064592,0.062969889
49,"20.1 Define Instructional goals, KCs, learning processes",11,309,-0.164711625,0.458914938,0.267009418
50,20.2 Explain the interrelationships between KCs and the ?est? corresponding learning process,3,133,0.688829867,0.665706574,0.0
51,20.4 Use KLI to choose instructional principles that match the desired KCs and learning processes,21,618,0.520138297,0.627180104,0.075057244
52,"3.1 Explain backward design and the interrelationships between goals, assessment, and instruction",15,610,-0.168735366,0.457915961,0.053967008
53,3.2 Map elements of Bloom? taxonomy to examples,11,454,0.584443544,0.642089224,0.091194108
54,3.3 Categorize knowledge components (KCs) along (four) dimensions,24,715,1.202437708,0.768958154,0.033107399
55,"3.4 Explain differences between KLI? Knowledge Components, Learning Events, Instructional Events, Assessment Events",33,1036,1.075807354,0.745699744,0.028205216
56,3.5 Identify key hypotheses of the KLI framework,26,631,0.48616654,0.619202952,0.023829417
57,"4.1 Evaluate and improve goals using KLI, Bloom? taxonomy, and ABCD",68,1660,0.435391221,0.607160305,0.028088268
58,4.2 Compare the purpose of formative and summative assessments,1,43,1.210254765,0.770344024,0.636320288
59,4.3 Recognize the value and limitations of self-assessment,20,459,1.05343913,0.741434759,0.110176933
60,5.1 Explain why ?f-then? production rules are a good way to express the output (model & insights) of a Cognitive Task Analysis,70,1283,0.231252236,0.557556787,0.033255042
61,5.2 Explain and exemplify how Cognitive Task Analysis can be used to identify learning goals,69,1445,-0.057585486,0.485607605,0.027924709
62,6.1 Evaluate and modify assessment questions based on KLI and Bloom? taxonomy,6,408,0.51273863,0.625448254,0.18647281
63,7.1 Explain the importance of focus setting in Contextual Inquiry and preparation in Clark? structured interview approach to CTA,8,393,-0.105825934,0.47356818,0.121674595
64,7.2 Compare and contrast the interview process of CTA via structured interviews with Contextual Inquiry,18,694,0.117242942,0.529277206,0.059081933
65,7.3 Use structured interviews (Cognitive Task Analysis) and contextual inquiry to identify course goals,15,532,0.89144907,0.709189119,0.054722717
66,"8.1 Distinguish between four kinds of CTA (theoretical vs. empirical, descriptive vs. prescriptive)",36,985,0.57220787,0.639272473,0.037748446
67,8.2 Use think aloud as a CTA technique,69,1333,0.215285944,0.553614568,0.04314959
68,8.5 Apply theoretical CTA to a task domain,28,1329,-0.135058675,0.466286563,0.028442921
69,8.6 Compare and contrast think aloud and theoretical CTA with other CTA methods,20,750,0.343157088,0.584957213,0.040142596
70,9.1 Perform & explain the steps in a Difficulty Factors Assessment (DFA),25,973,-0.206792239,0.448485386,0.040892103
71,9.5 Compare and contrast Difficulty Factors with prior CTA techniques,37,1047,0.553008334,0.634833265,0.040820981
